access,gateway,3.791666667
account,explanation,2
account,invoice,3.75
account,statement,3.681818182
acoustic,remedy,1.227272727
acrylic,cloth,2.739130435
action,adjustment,2
action,entrance,1.583333333
activity,event,4.083333333
activity,music,2.681818182
activity,skiing,3.45
addition,segment,2.5
adhesive,glue,4.608695652
adult,dentist,2.47826087
adult,doctor,2.782608696
afternoon,substance,1
age,childhood,3.782608696
agency,army,2.916666667
agency,office,3.857142857
agency,police,3.19047619
agent,spy,4
agreement,contract,4.476190476
aim,purpose,4.363636364
aircraft,balloon,2.869565217
aircraft,yacht,2.434782609
alarm,horn,3.458333333
alarm,press,2
algorithm,search,1.863636364
alien,stranger,3.428571429
alloy,metal,3.954545455
alphabet,script,3.5
aluminum,oxygen,1.608695652
amount,distance,1.958333333
amount,number,4.136363636
amount,season,1.434782609
amusement,athletics,2.6
amusement,play,4.041666667
amusement,procedure,1.454545455
anatomy,creation,2.565217391
animal,flora,2
animal,worm,2.72
ankle,joint,4.227272727
anniversary,birthday,3.727272727
answer,plea,2.44
apparel,dress,4.227272727
appearance,shadow,2.52173913
apple,bank,1.125
apple,orange,3.47826087
apple,pod,2.043478261
appliance,dryer,3.333333333
appliance,refrigerator,4.227272727
approach,swing,1.652173913
approval,encouragement,2.863636364
approving,interaction,2
arc,rainbow,3.347826087
architecture,engineering,3.25
area,patio,2.545454545
area,region,4.318181818
argument,evidence,3.045454545
argument,indication,1.772727273
arm,arrow,2.230769231
arm,missile,2.772727273
armor,mail,1.913043478
army,legion,3.285714286
aroma,fragrance,4.681818182
aroma,smell,4.19047619
arrangement,blizzard,1.25
arrangement,room,2.380952381
article,girl,1.208333333
artillery,gun,3.541666667
aspen,maple,2.791666667
ass,donkey,4.85
assembly,crowd,3.363636364
assets,capital,4.090909091
assets,credit,3.47826087
assets,income,4.038461538
association,organization,4.362318841
athlete,participant,3.458333333
athletics,racing,3.826086957
athletics,swimming,3.45
attitude,notice,1.486486486
attitude,study,1.88
attorney,lawyer,4.681818182
attraction,pressure,1.565217391
attraction,quality,2.347826087
attribute,condition,2.576923077
average,time,2.380952381
baby,computer,1.24
bail,bond,3.086956522
bait,instrument,2.090909091
bait,pump,1.208333333
bakery,work,2.541666667
bakery,workplace,3
balance,gauge,2.6
ball,egg,1.727272727
ball,nut,1.727272727
ball,poker,2.165217391
ball,sphere,4.142857143
band,circle,2.954545455
bar,needle,1.772727273
bar,rod,4.047619048
barrel,gallon,3.153846154
base,club,1.619047619
base,stock,2.476190476
baseball,softball,3.230769231
basin,vessel,4.076923077
basketball,hockey,2.782608696
basketball,squash,2.833333333
bathroom,chamber,2.681818182
battle,fight,4.583333333
bay,mere,1.583333333
beach,chain,1.047619048
beach,ridge,2.260869565
beam,column,2.961538462
beat,meter,1.92
beat,rhythm,4.363636364
bed,layer,2.136363636
bedroom,cell,2.136363636
bedroom,construction,2.208333333
bee,insect,4.043478261
beef,cattle,4.173913043
beef,meat,4.619047619
beginner,novice,4.166666667
behavior,purpose,2.304347826
belief,magic,2.565217391
belief,purpose,2.333333333
bench,seat,4.428571429
bend,curve,4.541666667
berry,citrus,3
bill,invoice,4.588235294
billboard,structure,3
bin,box,3.956521739
bin,cup,2.217391304
binary,star,1.863636364
bird,creature,3.458333333
bird,solid,1.090909091
birth,modification,1.434782609
bishop,priest,4.269230769
bit,tool,2.708333333
bite,breakfast,2.869565217
bite,taste,3.636363636
black,juvenile,1.238095238
blade,projector,1.434782609
blanket,sleeve,2.111111111
blizzard,rash,1.307692308
blow,contact,1.695652174
blue,red,3.272727273
board,commission,3.173913043
boat,ferry,4.083333333
boat,vessel,3.208333333
body,trunk,3.260869565
bond,security,3.904761905
bone,skull,4.272727273
book,encyclopedia,3.904761905
booklet,reference,3.380952381
boot,kick,3.173913043
boot,punch,1.75
bottom,sole,3.347826087
boy,male,4.52173913
boy,rover,2
brace,stand,2.913043478
brain,head,4.173913043
brake,click,1.761904762
branch,department,4.043478261
brand,knife,1.681818182
brand,surname,2.318181818
brandy,liquor,4.541666667
brass,executive,1.913043478
bread,bun,4.304347826
break,dash,2.916666667
break,insert,2.041666667
brick,cement,3.625
brick,strip,1.541666667
broadcast,packet,1.727272727
brochure,publication,3.875
brochure,reference,2.95
brother,member,2.583333333
brush,implement,2.47826087
budget,fund,4
buffer,cache,2.409090909
bug,child,1.276595745
build,flesh,1.833333333
building,cafe,3.142857143
bulb,onion,2.92
bulletin,news,4.666666667
bunny,server,1.25
