squishing	squirt	5.88	7	7	6	1	4	6	6	7	2	4
undated	undatable	5.83	10	9	6	5	5	7	7	9	2	5
circumvents	beat	5.33	7	7	3	9	8	6	3	2	0	6
circumvents	ebb	3.25	7	4	6	4	2	0	0	3	6	0
dispossess	deprive	6.83	10	6	7	10	10	8	5	8	1	7
provincialism	narrow-mindedness	8.11	9	7	9	9	8	6	9	7	0	9
provincialism	partiality	4.50	9	3	0	4	8	9	6	5	0	0
instrumentality	department	3.00	6	2	4	3	7	3	3	0	0	0
instrumentality	utility	7.29	6	7	7	5	8	7	9	8	3	8
involvement	action	6.86	7	8	7	8	5	9	6	9	7	1
involvement	implication	4.17	5	8	2	3	10	8	4	4	4	5
ecclesiastic	clergyman	8.67	10	8	10	10	8	6	8	0	9	9
brigadier	general	8.17	8	8	10	8	9	7	9	6	5	10
carbonic	chemical	5.17	7	3	5	4	8	7	9	0	2	5
carbonic	paper	5.17	8	7	6	2	8	7	7	0	0	2
aspirate	pronounce	5.20	8	4	2	10	7	6	0	0	7	0
aspirate	remove	2.50	6	3	7	3	2	0	2	0
monotype	machine	5.25	1	8	1	6	1	5	5	9	0	5
incommensurate	incommensurable	7.60	10	10	8	7	9	8	4	6
campfires	fire	9.33	10	9	9	9	9	10	10	8	10	6
cognizance	knowing	9.44	10	9	10	8	10	10	8	10	10	7
urbanize	change	5.67	4	2	2	7	5	7	4	10	2	7
imperfection	state	0.29	0	1	0	0	1	0	6	4	0
assessment	charge	4.40	0	8	2	1	7	8	5	7	0
assessment	assay	5.83	8	10	5	6	4	5	7	3
incubate	breed	6.40	10	6	10	5	7	4	7	7
incubate	develop	7.20	7	7	8	6	7	7	9	10
principality	domain	7.62	7	8	8	4	8	0	7	8	7	8
vicarious	abnormal	0.12	3	0	0	0	5	0	0	0	0	1
vicarious	secondary	6.50	7	8	0	9	5	0	10	8	2
ungraceful	awkward	8.50	10	7	9	9	10	7	8	10	7	8
unsighted	color-blind	5.29	6	5	7	4	6	5	5	0	6
socialise	educate	6.12	6	7	1	7	5	7	6	4	7	0
socialise	swing	1.00	5	6	1	3	0	4	0	0	0	0
diagonals	line	7.57	8	6	8	8	8	7	4	8	5	5
diagonals	heterosexual	0.11	0	1	0	0	0	3	0	0	0	0
naturalise	adapt	7.75	7	8	9	9	7	8	0	6	0	8
insubordinate	rebellious	9.00	10	8	8	9	10	8	9	10	9	9
insubordinate	defiant	9.56	10	9	9	10	10	7	10	10	9	9
subdividing	subdivide	9.50	9	10	10	10	10	6	10	9	7	8
subdividing	separate	8.67	9	9	8	8	10	6	10	9	9	0
antifeminism	sexism	8.60	10	9	9	6	10	5	5	9	9	7
circumcising	cut	8.00	7	8	8	7	8	10	10	8	8	7
circumcising	remove	8.17	8	8	6	6	8	10	9	8	8	5
excommunicate	oust	8.20	8	10	7	10	9	10	10	8	8	8
accomplished	over	5.00	7	0	4	0	10	10	0	7	2	5
attackers	wrongdoer	7.50	7	8	5	7	7	9	7	8	8	8
contravened	disagree	7.38	6	9	9	6	8	7	7	10	2	7
contravened	transgress	7.00	8	6	9	6	8	10	7	2	4	7
tenderize	change	5.88	7	0	4	6	4	5	7	7	7	0
blithering	chatter	7.71	8	10	6	7	9	10	6	9	4	9
resurfacing	coat	8.44	7	8	9	9	10	10	7	10	0	6
resurfacing	surface	6.50	8	5	6	4	8	5	8	7	10	5
friendships	brotherhood	7.50	8	7	6	8	7	6	9	7	9	8
soulfully	emotional	7.60	7	9	3	9	5	8	7	8	5	8
elector	voter	7.83	10	7	5	10	10	7	8	9	9	7
intentionality	intended	8.40	8	8	7	10	7	8	9	9	7	10
vulgarism	profanity	9.62	10	9	10	10	9	8	9	10	10	7
vulgarism	inelegance	6.29	5	4	6	9	1	9	8	8	7	6
preliterate	illiterate	4.71	5	7	5	5	5	7	3	5	5	0
preliterate	noncivilized	4.43	4	7	0	4	5	6	2	5	5	0
retrying	hear	0.38	0	4	0	0	3	5	0	0	0	0
wanderers	program	0.29	0	4	0	0	2	4	0	0	5	0
wanderers	nomad	9.50	10	9	10	10	10	9	9	9	10	9
marginalize	interact	2.50	3	0	0	2	5	0	6	0	3	2
